"","ppg","time"
"1",80.12329,509.81354
"2",80.0354,509.8269
"3",79.98657,509.8402
"4",79.98413,509.85358
"5",80.02075,509.86688
"6",80.08423,509.88025
"7",80.147705,509.89355
"8",80.19653,509.90692
"9",80.20386,509.92023
"10",80.16724,509.9336
"11",80.08911,509.9469
"12",79.97681,509.96027
"13",79.84253,509.97357
"14",79.70092,509.98694
"15",79.55688,510.00024
"16",79.412834,510.0136
"17",79.276115,510.02692
"18",79.149155,510.04028
"19",79.029526,510.0536
"20",78.924545,510.06696
"21",78.83421,510.08026
"22",78.751205,510.09363
"23",78.675514,510.10693
"24",78.607155,510.1203
"25",78.536354,510.1336
"26",78.470436,510.14697
"27",78.40452,510.16028
"28",78.3386,510.17365
"29",78.28001,510.18695
"30",78.24338,510.20032
"31",78.27512,510.21362
"32",78.43626,510.227
"33",78.785385,510.2403
"34",79.33715,510.25366
"35",80.05249,510.26697
"36",80.84108,510.28033
"37",81.58572,510.29364
"38",82.17166,510.307
"39",82.53788,510.3203
"40",82.67948,510.33368
"41",82.62577,510.347
"42",82.43046,510.36035
"43",82.144806,510.37366
"44",81.81766,510.38702
"45",81.478294,510.40033
"46",81.15602,510.4137
"47",80.86061,510.427
"48",80.59449,510.44037
"49",80.35767,510.45367
"50",80.147705,510.46704
"51",79.95972,510.48035
"52",79.801025,510.4937
"53",79.68139,510.50702
"54",79.61547,510.5204
"55",79.60082,510.5337
"56",79.64233,510.54706
"57",79.71557,510.56036
"58",79.798584,510.57373
"59",79.869385,510.58704
"60",79.91089,510.6004
"61",79.91333,510.6137
"62",79.87427,510.62708
"63",79.798584,510.64038
"64",79.68383,510.65375
"65",79.54711,510.66705
"66",79.395744,510.68042
"67",79.23949,510.69373
"68",79.08812,510.7071
"69",78.941635,510.7204
"70",78.81224,510.73376
"71",78.69749,510.74707
"72",78.59983,510.76044
"73",78.51194,510.77374
"74",78.43626,510.7871
"75",78.3679,510.8004
"76",78.30442,510.81378
"77",78.238495,510.8271
"78",78.17746,510.84045
"79",78.118866,510.85376
"80",78.0798,510.86713
"81",78.10422,510.88043
"82",78.260475,510.8938
"83",78.6096,510.9071
"84",79.18089,510.92047
"85",79.9353,510.93378
"86",80.77516,510.94714
"87",81.57595,510.96045
"88",82.22293,510.97382
"89",82.64774,510.98712
"90",82.8333,511.0005
"91",82.81865,511.0138
"92",82.650185,511.02716
"93",82.37919,511.04047
"94",82.04959,511.05383
"95",81.70779,511.06714
"96",81.375755,511.0805
"97",81.06813,511.0938
"98",80.78981,511.10718
"99",80.5481,511.12048
"100",80.3357,511.13385
"101",80.15015,511.14716
"102",79.9939,511.16052
"103",79.87427,511.17383
"104",79.7937,511.1872
"105",79.75952,511.2005
"106",79.764404,511.21387
"107",79.80347,511.22717
"108",79.86206,511.24054
"109",79.91333,511.25385
"110",79.94507,511.2672
"111",79.94751,511.28052
"112",79.91333,511.29388
"113",79.83765,511.3072
"114",79.73266,511.32056
"115",79.603264,511.33386
"116",79.45678,511.34723
"117",79.29809,511.36053
"118",79.13939,511.3739
"119",78.98558,511.3872
"120",78.84154,511.40057
"121",78.712135,511.41388
"122",78.59983,511.42725
"123",78.502174,511.44055
"124",78.416725,511.45392
"125",78.34104,511.46722
"126",78.27268,511.4806
"127",78.21164,511.4939
"128",78.15549,511.50726
"129",78.101776,511.52057
"130",78.05051,511.53394
"131",78.00412,511.54724
"132",77.97238,511.5606
"133",77.98459,511.5739
"134",78.10666,511.58728
"135",78.41917,511.6006
"136",78.96361,511.61395
"137",79.727776,511.62726
"138",80.635994,511.64062
"139",81.55886,511.65393
"140",82.36454,511.6673
"141",82.94316,511.6806
"142",83.267876,511.69397
"143",83.34844,511.70728
"144",83.23613,511.72064
"145",82.99199,511.73395
"146",82.6746,511.7473
"147",82.32548,511.76062
"148",81.97635,511.774
"149",81.64919,511.7873
"150",81.35134,511.80066
"151",81.08034,511.81396
"152",80.84108,511.82733
"153",80.62379,511.84064
"154",80.430916,511.854
"155",80.2649,511.8673
"156",80.13794,511.88068
"157",80.05005,511.89398
"158",80.01099,511.90735
