"","ppg"
"1",80.50416
"2",80.51881
"3",80.516365
"4",80.48951
"5",80.42359
"6",80.32105
"7",80.18677
"8",80.03296
"9",79.8645
"10",79.68383
"11",79.49584
"12",79.30053
"13",79.10521
"14",78.91478
"15",78.74143
"16",78.58274
"17",78.43626
"18",78.2971
"19",78.16281
"20",78.028534
"21",77.90158
"22",77.80148
"23",77.77219
"24",77.89914
"25",78.26292
"26",78.9099
"27",79.80835
"28",80.86061
"29",81.917755
"30",82.82597
"31",83.46807
"32",83.807434
"33",83.86359
"34",83.67803
"35",83.319145
"36",82.862595
"37",82.37675
"38",81.92264
"39",81.532005
"40",81.21706
"41",80.970474
"42",80.762955
"43",80.58228
"44",80.413826
"45",80.2649
"46",80.1355
"47",80.04028
"48",79.971924
"49",79.92554
"50",79.888916
"51",79.84985
"52",79.79614
"53",79.71313
"54",79.603264
"55",79.4641
"56",79.30297
"57",79.11986
"58",78.92699
"59",78.73411
"60",78.54856
"61",78.37522
"62",78.21164
"63",78.0676
"64",77.9382
"65",77.81857
"66",77.713585
"67",77.625694
"68",77.54513
"69",77.469444
"70",77.39864
"71",77.32784
"72",77.27169
"73",77.26925
"74",77.401085
"75",77.76242
"76",78.42161
"77",79.36645
"78",80.51881
"79",81.73708
"80",82.845505
"81",83.70489
"82",84.23956
"83",84.44465
"84",84.36408
"85",84.06622
"86",83.63409
"87",83.15068
"88",82.67948
"89",82.262
"90",81.9202
"91",81.654076
"92",81.444115
"93",81.26101
"94",81.08034
"95",80.88991
"96",80.68726
"97",80.48707
"98",80.31129
"99",80.17212
"100",80.07202
"101",80.00122
"102",79.94263
"103",79.88159
"104",79.81079
"105",79.71801
"106",79.603264
"107",79.46166
"108",79.29809
"109",79.11986
"110",78.93187
"111",78.746315
"112",78.56809
"113",78.399635
"114",78.238495
"115",78.082245
"116",77.93576
"117",77.7966
"118",77.6672
"119",77.55489
"120",77.45968
"121",77.38155
"122",77.32784
"123",77.29366
"124",77.27413
"125",77.27169
"126",77.27657
"127",77.2839
"128",77.29122
"129",77.29366
"130",77.2839
"131",77.261925
"132",77.225296
"133",77.18135
"134",77.15694
"135",77.21309
"136",77.45724
"137",77.97238
"138",78.79271
"139",79.871826
"140",81.077896
"141",82.2449
"142",83.20683
"143",83.85626
"144",84.16388
"145",84.159
"146",83.897766
"147",83.46563
"148",82.9456
"149",82.425575
"150",81.9617
"151",81.5906
"152",81.30984
"153",81.10719
"154",80.94362
"155",80.799576
"156",80.65308
"157",80.5066
"158",80.36256
"159",80.23804
"160",80.130615
"161",80.05249
"162",79.98657
"163",79.92798
"164",79.869385
"165",79.801025
"166",79.71313
"167",79.61059
"168",79.48608
"169",79.344475
"170",79.18822
"171",79.0222
"172",78.856186
"173",78.692604
"174",78.53391
"175",78.38499
"176",78.24582
"177",78.11154
"178",77.98947
"179",77.874725
"180",77.77219
"181",77.68429
"182",77.608604
"183",77.55245
"184",77.51095
"185",77.48409
"186",77.469444
"187",77.467
"188",77.471886
"189",77.486534
"190",77.506065
"191",77.5256
"192",77.54269
"193",77.55978
"194",77.574425
"195",77.58175
"196",77.58175
"197",77.5671
"198",77.54269
"199",77.51339
"200",77.51339
"201",77.6379
"202",77.994354
"203",78.65598
"204",79.622795
"205",80.81178
"206",82.06668
"207",83.19707
"208",84.054016
"209",84.56672
"210",84.7425
"211",84.62531
"212",84.28596
"213",83.80499
"214",83.26299
"215",82.73075
"216",82.25468
"217",81.86893
"218",81.57595
"219",81.358665
"220",81.1902
"221",81.05104
"222",80.92897
"223",80.82399
"224",80.740974
"225",80.68482
"226",80.64576
"227",80.61158
"228",80.567635
"229",80.50904
"230",80.42603
"231",80.32105
"232",80.19165
"233",80.04028
"234",79.87427
"235",79.693596
"236",79.51049
"237",79.32983
"238",79.15404
"239",78.98314
"240",78.82201
"241",78.67307
"242",78.538795
"243",78.42405
"244",78.32395
"245",78.23605
"246",78.16037
"247",78.08713
"248",78.01633
"249",77.945526
"250",77.88205
"251",77.8259
"252",77.81613
"253",77.93332
"254",78.26536
"255",78.86107
"256",79.710686
"257",80.72877
"258",81.778595
"259",82.69657
"260",83.36309
"261",83.72686
"262",83.79767
"263",83.62432
"264",83.2752
"265",82.82353
"266",82.34257
"267",81.88846
"268",81.50027
"269",81.19264
"270",80.955826
"271",80.77272
"272",80.61402
"273",80.462654
"274",80.31373
"275",80.17212
"276",80.05005
"277",79.957275
"278",79.89624
"279",79.85474
"280",79.82544
"281",79.79126
"282",79.73998
"283",79.66186
"284",79.55932
"285",79.43481
"286",79.30297
"287",79.16136
"288",79.01732
"289",78.870834
"290",78.71702
"291",78.56321
"292",78.40696
"293",78.260475
"294",78.12863
"295",78.011444
"296",77.90646
"297",77.81613
"298",77.738
"299",77.67696
"300",77.63302
"301",77.60372
"302",77.593956
"303",77.593956
"304",77.60616
"305",77.61837
"306",77.628136
"307",77.63302
"308",77.625694
"309",77.60372
"310",77.58419
"311",77.62325
"312",77.823456
"313",78.28977
"314",79.06615
"315",80.11841
"316",81.324486
"317",82.513466
"318",83.50713
"319",84.190735
"320",84.53742
"321",84.576485
"322",84.368965
"323",83.99298
"324",83.53643
"325",83.07744
"326",82.6746
"327",82.36942
"328",82.1741
"329",82.06424
"330",82.00809
"331",81.96658
"332",81.91287
"333",81.82742
"334",81.71755
"335",81.5906
"336",81.461205
"337",81.33669
"338",81.22438
"339",81.1194
"340",81.01686
"341",80.90456
"342",80.77516
"343",80.62867
"344",80.46998
"345",80.30396
"346",80.130615
"347",79.95239
"348",79.766846
"349",79.57641
"350",79.378654
"351",79.17113
"352",78.95384
"353",78.73411
"354",78.51194
"355",78.2971
"356",78.099335
"357",77.925995
"358",77.77951
"359",77.659874
"360",77.56954
"361",77.503624
"362",77.45968
"363",77.42794
"364",77.41329
"365",77.40353
"366",77.39864
"367",77.383995
"368",77.36446
"369",77.33761
"370",77.30099
"371",77.25704
"372",77.222855
"373",77.2546
"374",77.46212
"375",77.9382
"376",78.729225
"377",79.7937
"378",81.00221
"379",82.18143
"380",83.15556
"381",83.80499
"382",84.11505
"383",84.122375
"384",83.88312
"385",83.475395
"386",82.98222
"387",82.46952
"388",81.99832
"389",81.61013
"390",81.324486
"391",81.126724
"392",80.99733
"393",80.90456
"394",80.816666
"395",80.726326
"396",80.62867
"397",80.5359
"398",80.45289
"399",80.38453
"400",80.325935
"401",80.27955
"402",80.233154
"403",80.184326
"404",80.12329
"405",80.042725
"406",79.94263
"407",79.823
"408",79.691154
"409",79.54467
"410",79.3933
"411",79.237045
"412",79.078354
"413",78.922104
"414",78.768295
"415",78.624245
"416",78.49241
"417",78.37034
"418",78.2678
"419",78.187225
"420",78.133514
"421",78.10666
"422",78.10666
"423",78.13107
"424",78.16525
"425",78.20187
"426",78.23361
"427",78.26292
"428",78.328835
"429",78.519264
"430",78.92943
"431",79.61303
"432",80.550545
"433",81.64187
"434",82.735634
"435",83.66827
"436",84.32258
"437",84.64973
"438",84.66682
"439",84.43
"440",84.00763
"441",83.475395
"442",82.91875
"443",82.39628
"444",81.95438
"445",81.602806
"446",81.33669
"447",81.13649
"448",80.972916
"449",80.81911
"450",80.6775
"451",80.54566
"452",80.43824
"453",80.35767
"454",80.308846
"455",80.27711
"456",80.25025
"457",80.218506
"458",80.16724
"459",80.08667
"460",79.97681
"461",79.83765
"462",79.674065
"463",79.49828
"464",79.31274
"465",79.12718
"466",78.94652
"467",78.77562
"468",78.61936
"469",78.4802
"470",78.35325
"471",78.24338
"472",78.14572
"473",78.05783
"474",77.98459
"475",77.925995
"476",77.87717
"477",77.840546
"478",77.823456
"479",77.87961
"480",78.09445
"481",78.56077
"482",79.32006
"483",80.34547
"484",81.52224
"485",82.684364
"486",83.66827
"487",84.35676
"488",84.715645
"489",84.76936
"490",84.56672
"491",84.18341
"492",83.69756
"493",83.177536
"494",82.686806
"495",82.262
"496",81.92508
"497",81.66628
"498",81.45388
"499",81.270775
"500",81.092545
"501",80.91432
"502",80.74586
"503",80.59205
"504",80.46998
"505",80.37476
"506",80.29908
"507",80.23071
"508",80.164795
"509",80.08911
"510",79.99634
"511",79.87915
"512",79.7351
"513",79.571526
"514",79.38354
"515",79.18089
"516",78.975815
"517",78.77318
"518",78.57542
"519",78.39475
"520",78.22629
"521",78.07004
"522",77.93088
"523",77.803925
"524",77.696495
"525",77.60616
"526",77.5378
"527",77.49142
"528",77.46212
"529",77.44503
"530",77.44747
"531",77.45724
"532",77.467
"533",77.47677
"534",77.47677
"535",77.46212
"536",77.43038
"537",77.39132
"538",77.3962
"539",77.54269
"540",77.943085
"541",78.66575
"542",79.70092
"543",80.9485
"544",82.24002
"545",83.38506
"546",84.24689
"547",84.75716
"548",84.92317
"549",84.79378
"550",84.44221
"551",83.95148
"552",83.407036
"553",82.8748
"554",82.408485
"555",82.037384
"556",81.75906
"557",81.55398
"558",81.39529
"559",81.25613
"560",81.11696
"561",80.97536
"562",80.833755
"563",80.709236
"564",80.6067
"565",80.52613
"566",80.45777
"567",80.394295
"568",80.325935
"569",80.24292
"570",80.1355
"571",80.00366
"572",79.85474
"573",79.68871
"574",79.50317
"575",79.30541
"576",79.10521
"577",78.90257
"578",78.69993
"579",78.504616
"580",78.32395
"581",78.15549
"582",78.00168
"583",77.857635
"584",77.733116
"585",77.62325
"586",77.53048
"587",77.45724
"588",77.401085
"589",77.35958
"590",77.332726
"591",77.315636
"592",77.30831
"593",77.30343
"594",77.30343
"595",77.30099
"596",77.298546
"597",77.29366
"598",77.29122
"599",77.28878
"600",77.2839
"601",77.281456
"602",77.27413
"603",77.25948
"604",77.239944
"605",77.22041
"606",77.21065
"607",77.20332
"608",77.19844
"609",77.19112
"610",77.17647
"611",77.14717
"612",77.10811
"613",77.066605
"614",77.049515
"615",77.15938
"616",77.54513
"617",78.328835
"618",79.51537
"619",81.007095
"620",82.60868
"621",84.08087
"622",85.2137
"623",85.92172
"624",86.219574
"625",86.168304
"626",85.83139
"627",85.3016
"628",84.664375
"629",84.00519
"630",83.38262
"631",82.85527
"632",82.43778
"633",82.13016
"634",81.90311
"635",81.72976
"636",81.58816
"637",81.47341
"638",81.373314
"639",81.29519
"640",81.231705
"641",81.17555
"642",81.11696
"643",81.05348
"644",80.97536
"645",80.88258
"646",80.76784
"647",80.63355
"648",80.482185
"649",80.31373
"650",80.130615
"651",79.93286
"652",79.72045
"653",79.49584
"654",79.273674
"655",79.0515
"656",78.84154
"657",78.64622
"658",78.46555
"659",78.2971
"660",78.14572
"661",78.009
"662",77.891815
"663",77.79416
"664",77.72091
"665",77.6672
"666",77.63546
"667",77.61837
"668",77.61837
"669",77.62081
"670",77.628136
"671",77.62325
"672",77.608604
"673",77.57198
"674",77.523155
"675",77.48165
"676",77.51827
"677",77.75021
"678",78.294655
"679",79.19066
"680",80.38209
"681",81.72976
"682",83.038376
"683",84.11261
"684",84.840164
"685",85.19905
"686",85.22591
"687",84.97688
"688",84.525215
"689",83.95148
"690",83.33379
"691",82.73319
"692",82.193634
"693",81.739525
"694",81.375755
"695",81.08766
"696",80.85817
"697",80.6775
"698",80.54322
"699",80.448006
"700",80.396736
"701",80.38453
"702",80.39918
"703",80.42115
"704",80.43336
"705",80.42359
"706",80.377205
"707",80.291756
"708",80.16724
"709",80.008545
"710",79.823
"711",79.62035
"712",79.41039
"713",79.1931
"714",78.98314
"715",78.77806
"716",78.58274
"717",78.40208
"718",78.23605
"719",78.082245
"720",77.94797
"721",77.823456
"722",77.713585
"723",77.61837
"724",77.53048
"725",77.44747
"726",77.40353
"727",77.47677
"728",77.79172
"729",78.43626
"730",79.42016
"731",80.66285
"732",82.01053
"733",83.250786
"734",84.224915
"735",84.857254
"736",85.1429
"737",85.11604
"738",84.84505
"739",84.4007
"740",83.85626
"741",83.28008
"742",82.735634
"743",82.262
"744",81.87137
"745",81.55642
"746",81.29763
"747",81.077896
"748",80.8777
"749",80.69703
"750",80.54322
"751",80.428474
"752",80.35279
"753",80.31129
"754",80.28687
"755",80.26246
"756",80.22583
"757",80.16235
"758",80.06714
"759",79.93286
"760",79.77173
"761",79.58373
"762",79.37377
"763",79.15404
"764",78.93919
"765",78.729225
"766",78.53391
"767",78.35325
"768",78.18967
"769",78.0383
"770",77.89914
"771",77.78195
"772",77.679405
"773",77.591515
"774",77.51095
"775",77.437706
"776",77.36202
"777",77.29122
"778",77.242386
"779",77.29122
"780",77.55245
"781",78.118866
"782",79.029526
"783",80.235596
"784",81.59548
"785",82.91875
"786",84.034485
"787",84.823074
"788",85.25277
"789",85.347984
"790",85.16243
"791",84.76692
"792",84.25422
"793",83.70977
"794",83.19951
"795",82.757614
"796",82.40116
"797",82.12283
"798",81.89334
"799",81.685814
"800",81.48806
"801",81.28298
"802",81.075455
"803",80.8777
"804",80.69459
"805",80.54078
"806",80.41627
"807",80.31861
"808",80.233154
"809",80.147705
"810",80.045166
"811",79.923096
"812",79.76929
"813",79.5935
"814",79.398186
"815",79.19066
"816",78.975815
"817",78.75853
"818",78.54124
"819",78.328835
"820",78.133514
"821",77.95041
"822",77.78195
"823",77.63058
"824",77.503624
"825",77.3962
"826",77.31808
"827",77.261925
"828",77.22774
"829",77.205765
"830",77.188675
"831",77.1667
"832",77.14473
"833",77.117874
"834",77.086136
"835",77.06172
"836",77.09834
"837",77.30099
"838",77.77463
"839",78.572975
"840",79.67895
"841",80.97536
"842",82.28397
"843",83.42657
"844",84.27131
"845",84.76448
"846",84.92073
"847",84.79378
"848",84.456856
"849",83.99298
"850",83.48516
"851",82.99687
"852",82.579384
"853",82.24979
"854",82.003204
"855",81.80789
"856",81.62966
"857",81.43923
"858",81.22438
"859",80.987564
"860",80.75319
"861",80.53834
"862",80.360115
"863",80.22339
"864",80.12085
"865",80.03784
"866",79.96704
"867",79.87915
"868",79.77417
"869",79.63744
"870",79.47387
"871",79.28832
"872",79.08812
"873",78.87572
"874",78.65598
"875",78.4387
"876",78.22873
"877",78.028534
"878",77.838104
"879",77.662315
"880",77.49874
"881",77.35226
"882",77.22774
"883",77.12764
"884",77.051956
"885",76.99336
"886",76.94942
"887",76.92012
"888",76.90547
"889",76.893265
"890",76.89082
"891",76.893265
"892",76.90303
"893",76.912796
"894",76.93477
"895",76.961624
"896",76.98604
"897",76.99336
"898",76.9836
"899",76.94942
"900",76.90059
"901",76.83467
"902",76.79317
"903",76.85664
"904",77.15694
"905",77.80148
"906",78.82201
"907",80.13794
"908",81.59792
"909",82.98955
"910",84.12726
"911",84.9012
"912",85.29916
"913",85.347984
"914",85.11116
"915",84.66926
"916",84.11017
"917",83.52422
"918",82.984665
"919",82.53544
"920",82.196075
"921",81.94705
"922",81.75662
"923",81.5906
"924",81.427025
"925",81.253685
"926",81.08034
"927",80.921646
"928",80.78737
"929",80.6775
"930",80.58228
"931",80.49683
"932",80.4065
"933",80.306404
"934",80.19165
"935",80.059814
"936",79.90845
"937",79.73998
"938",79.554436
"939",79.35668
"940",79.15404
"941",78.95384
"942",78.75609
"943",78.56321
"944",78.37766
"945",78.20187
"946",78.0383
"947",77.89426
"948",77.769745
"949",77.66476
"950",77.576866
"951",77.49874
"952",77.43038
"953",77.37423
"954",77.330284
"955",77.30099
"956",77.28878
"957",77.29366
"958",77.31075
