"","ppg","time"
"1",81.42947,643.37646
"2",81.30251,643.38965
"3",81.19997,643.4033
"4",81.12428,643.417
"5",81.06081,643.4302
"6",80.98512,643.44336
"7",80.885025,643.45703
"8",80.75563,643.4707
"9",80.6067,643.4839
"10",80.448006,643.4971
"11",80.30152,643.51074
"12",80.181885,643.5244
"13",80.09888,643.5376
"14",80.04761,643.5508
"15",80.01587,643.56445
"16",79.99878,643.5781
"17",79.98413,643.5913
"18",79.95972,643.6045
"19",79.920654,643.61816
"20",79.86694,643.63184
"21",79.79614,643.645
"22",79.71801,643.6582
"23",79.63256,643.6719
"24",79.554436,643.68555
"25",79.48119,643.6987
"26",79.415276,643.7119
"27",79.35912,643.7256
"28",79.30785,643.73926
"29",79.26391,643.75244
"30",79.22484,643.7656
"31",79.1931,643.7793
"32",79.168686,643.79297
"33",79.14671,643.80615
"34",79.12718,643.81934
"35",79.11009,643.833
"36",79.09544,643.8467
"37",79.08324,643.85986
"38",79.07347,643.87305
"39",79.06615,643.8867
"40",79.05882,643.9004
"41",79.05638,643.9136
"42",79.05638,643.92676
"43",79.061264,643.9404
"44",79.06859,643.9541
"45",79.078354,643.9673
"46",79.08568,643.98047
"47",79.08812,643.99414
"48",79.08324,644.0078
"49",79.078354,644.021
"50",79.07591,644.0342
"51",79.093,644.04785
"52",79.166245,644.0615
"53",79.34203,644.0747
"54",79.639885,644.0879
"55",80.059814,644.10156
"56",80.552986,644.11523
"57",81.04372,644.1284
"58",81.45144,644.1416
"59",81.722435,644.1553
"60",81.83963,644.16895
"61",81.82254,644.1821
"62",81.71755,644.1953
"63",81.566185,644.209
"64",81.409935,644.22266
"65",81.27322,644.23584
"66",81.16579,644.249
"67",81.08034,644.2627
"68",81.00954,644.27637
"69",80.93385,644.28955
"70",80.84352,644.30273
"71",80.73121,644.3164
"72",80.604256,644.3301
"73",80.465096,644.34326
"74",80.32838,644.35645
"75",80.20386,644.3701
"76",80.1062,644.3838
"77",80.0354,644.397
"78",79.991455,644.41016
"79",79.96216,644.4238
"80",79.940186,644.4375
"81",79.91577,644.4507
"82",79.87915,644.46387
"83",79.83276,644.47754
"84",79.77661,644.4912
"85",79.71801,644.5044
"86",79.65209,644.5176
"87",79.5935,644.53125
"88",79.53002,644.5449
"89",79.46899,644.5581
"90",79.41039,644.5713
"91",79.35912,644.58496
"92",79.310295,644.59863
"93",79.27123,644.6118
"94",79.23949,644.625
"95",79.21019,644.6387
"96",79.18089,644.65234
