"","ppg"
"1",79.202866
"2",79.029526
"3",78.853745
"4",78.695045
"5",78.56077
"6",78.46067
"7",78.38987
"8",78.34348
"9",78.31663
"10",78.30198
"11",78.294655
"12",78.29221
"13",78.2971
"14",78.30442
"15",78.311745
"16",78.31663
"17",78.32395
"18",78.32395
"19",78.32395
"20",78.32395
"21",78.331276
"22",78.34104
"23",78.35813
"24",78.382545
"25",78.40696
"26",78.42161
"27",78.42405
"28",78.416725
"29",78.41428
"30",78.467995
"31",78.66819
"32",79.114975
"33",79.85474
"34",80.85573
"35",81.98367
"36",83.06035
"37",83.90265
"38",84.403145
"39",84.54719
"40",84.41779
"41",84.10773
"42",83.70733
"43",83.29717
"44",82.92607
"45",82.62089
"46",82.374306
"47",82.176544
"48",81.99344
"49",81.79813
"50",81.57839
"51",81.34402
"52",81.11696
"53",80.90944
"54",80.73609
"55",80.59449
"56",80.47486
"57",80.36744
"58",80.26002
"59",80.14526
"60",80.01831
"61",79.87427
"62",79.71313
"63",79.534904
"64",79.35668
"65",79.183334
"66",79.02464
"67",78.88304
"68",78.77318
"69",78.68284
"70",78.61448
"71",78.56565
"72",78.53147
"73",78.50706
"74",78.487526
"75",78.47776
"76",78.47288
"77",78.47288
"78",78.47532
"79",78.48264
"80",78.487526
"81",78.48997
"82",78.487526
"83",78.47532
"84",78.45579
"85",78.41917
"86",78.37034
"87",78.30686
"88",78.24582
"89",78.221405
"90",78.30442
"91",78.60227
"92",79.183334
"93",80.042725
"94",81.0901
"95",82.15701
"96",83.05791
"97",83.66094
"98",83.9173
"99",83.87579
"100",83.6292
"101",83.27276
"102",82.882126
"103",82.51835
"104",82.213165
"105",81.96414
"106",81.75906
"107",81.57107
"108",81.38308
"109",81.180435
"110",80.972916
"111",80.7776
"112",80.61158
"113",80.48463
"114",80.39185
"115",80.31861
"116",80.255135
"117",80.184326
"118",80.10376
"119",80.0061
"120",79.8938
"121",79.76196
"122",79.62035
"123",79.47143
"124",79.3225
"125",79.18089
"126",79.05638
"127",78.94652
"128",78.8513
"129",78.7805
"130",78.729225
"131",78.695045
"132",78.675514
"133",78.66575
"134",78.66331
"135",78.660866
"136",78.65598
"137",78.64622
"138",78.62913
"139",78.59983
"140",78.56077
"141",78.5095
"142",78.450905
"143",78.38743
"144",78.32395
"145",78.27512
"146",78.29221
"147",78.450905
"148",78.839096
"149",79.500725
"150",80.39918
"151",81.4197
"152",82.39628
"153",83.16533
"154",83.62676
"155",83.76349
"156",83.64629
"157",83.36797
"158",83.01396
"159",82.652626
"160",82.32548
"161",82.05203
"162",81.829865
"163",81.636986
"164",81.45388
"165",81.26833
"166",81.07057
"167",80.867935
"168",80.6775
"169",80.51881
"170",80.394295
"171",80.30396
"172",80.233154
"173",80.16968
"174",80.096436
"175",80.00122
"176",79.87915
"177",79.7351
"178",79.57641
"179",79.41039
"180",79.24925
"181",79.097885
"182",78.95628
"183",78.82933
"184",78.72434
"185",78.641335
"186",78.57542
"187",78.52903
"188",78.502174
"189",78.48997
"190",78.48997
"191",78.49241
"192",78.49241
"193",78.487526
"194",78.46555
"195",78.433815
"196",78.39231
"197",78.34348
"198",78.28977
"199",78.238495
"200",78.21408
"201",78.27268
"202",78.504616
"203",78.98558
"204",79.73266
"205",80.67994
"206",81.685814
"207",82.57694
"208",83.21416
"209",83.53399
"210",83.5584
"211",83.36797
"212",83.055466
"213",82.69901
"214",82.354774
"215",82.06424
"216",81.832306
"217",81.636986
"218",81.45876
"219",81.2781
"220",81.077896
"221",80.87038
"222",80.66773
"223",80.49683
"224",80.360115
"225",80.257576
"226",80.17456
"227",80.096436
"228",80.01831
"229",79.92798
"230",79.823
