"","ppg","time"
"1",76.23407,330.70282
"2",76.19501,330.71616
"3",76.16571,330.7295
"4",76.14862,330.74283
"5",76.14374,330.75616
"6",76.1413,330.7695
"7",76.138855,330.78284
"8",76.13397,330.79617
"9",76.11444,330.8095
"10",76.09003,330.82285
"11",76.06561,330.83618
"12",76.053406,330.84952
"13",76.0827,330.86285
"14",76.21942,330.8762
"15",76.58564,330.88953
"16",77.33761,330.90286
"17",78.59495,330.9162
"18",80.377205,330.92953
"19",82.55985,330.94287
"20",84.88655,330.9562
"21",87.030136,330.96954
"22",88.72694,330.98288
"23",89.82803,330.99622
"24",90.33097,331.00955
"25",90.32609,331.0229
"26",89.96475,331.03622
"27",89.38369,331.04956
"28",88.69276,331.0629
"29",87.96277,331.07623
"30",87.23277,331.08957
"31",86.51011,331.1029
"32",85.78989,331.11624
"33",85.08186,331.12958
"34",84.41291,331.1429
"35",83.824524,331.15625
"36",83.36065,331.1696
"37",83.055466,331.18292
"38",82.90898,331.19626
"39",82.879684,331.2096
"40",82.91875,331.22293
"41",82.96025,331.23627
"42",82.948044,331.2496
"43",82.85039,331.26294
"44",82.64774,331.27628
"45",82.34989,331.2896
"46",81.97635,331.30295
"47",81.55398,331.31628
"48",81.09743,331.32962
"49",80.63111,331.34296
"50",80.177,331.3563
"51",79.73998,331.36963
"52",79.3225,331.38297
"53",78.93919,331.3963
"54",78.590065,331.40964
"55",78.27268,331.42297
"56",77.98703,331.4363
"57",77.74044,331.44965
"58",77.5256,331.46298
"59",77.34249,331.47632
"60",77.188675,331.48965
"61",77.06172,331.503
"62",76.95186,331.51633
"63",76.859085,331.52966
"64",76.77608,331.543
"65",76.700386,331.55634
"66",76.627144,331.56967
"67",76.561226,331.583
"68",76.50019,331.59634
"69",76.4416,331.60968
"70",76.383,331.62302
"71",76.32929,331.63635
"72",76.27314,331.6497
"73",76.21454,331.66302
"74",76.15839,331.67636
"75",76.104675,331.6897
"76",76.05585,331.70303
"77",76.00946,331.71637
"78",75.97284,331.7297
"79",75.9411,331.74304
"80",75.90692,331.75638
"81",75.8703,331.7697
"82",75.83856,331.78305
"83",75.80682,331.7964
"84",75.78485,331.80972
"85",75.78485,331.82306
"86",75.84833,331.8364
"87",76.06561,331.84973
"88",76.58564,331.86307
"89",77.56466,331.8764
"90",79.08568,331.88974
"91",81.12428,331.90308
"92",83.49981,331.9164
"93",85.91196,331.92975
"94",88.04578,331.94308
"95",89.66445,331.95642
"96",90.65568,331.96976
"97",91.04631,331.9831
"98",90.948654,331.99643
"99",90.50675,332.00977
"100",89.85489,332.0231
"101",89.09804,332.03644
"102",88.289925,332.04977
"103",87.464714,332.0631
"104",86.63218,332.07645
"105",85.79965,332.08978
"106",84.99153,332.10312
"107",84.244446,332.11646
"108",83.60723,332.1298
"109",83.12871,332.14313
"110",82.82597,332.15646
"111",82.686806,332.1698
"112",82.669716,332.18314
"113",82.70634,332.19647
"114",82.74052,332.2098
"115",82.71366,332.22314
"116",82.58671,332.23648
"117",82.35233,332.24982
"118",82.01785,332.26315
"119",81.600365,332.2765
"120",81.126724,332.28983
"121",80.62623,332.30316
"122",80.11841,332.3165
"123",79.622795,332.32983
"124",79.14427,332.34317
"125",78.69993,332.3565
"126",78.294655,332.36984
"127",77.92844,332.38318
"128",77.59884,332.3965
"129",77.315636,332.40985
"130",77.066605,332.4232
"131",76.85176,332.43652
"132",76.663765,332.44986
"133",76.50263,332.4632
"134",76.36347,332.47653
"135",76.24628,332.48987
"136",76.1535,332.5032
"137",76.07538,332.51654
"138",76.01434,332.52988
"139",75.965515,332.5432
"140",75.92645,332.55655
"141",75.897156,332.5699
"142",75.877625,332.58322
"143",75.86786,332.59656
"144",75.86542,332.6099
"145",75.86542,332.62323
"146",75.862976,332.63657
"147",75.85077,332.6499
"148",75.83368,332.66324
"149",75.79462,332.67657
"150",75.73846,332.6899
"151",75.66277,332.70325
"152",75.58465,332.71658
"153",75.50408,332.72992
"154",75.44305,332.74326
"155",75.4284,332.7566
"156",75.543144,332.76993
"157",75.911804,332.78326
"158",76.697945,332.7966
"159",78.028534,332.80994
"160",79.93286,332.82327
"161",82.28886,332.8366
"162",84.84993,332.84995
"163",87.28405,332.86328
"164",89.29336,332.87662
"165",90.6923,332.88995
"166",91.4345,332.9033
"167",91.59075,332.91663
"168",91.28802,332.92996
"169",90.684975,332.9433
"170",89.90616,332.95663
"171",89.04433,332.96997
"172",88.15076,332.9833
"173",87.25231,332.99664
"174",86.3563,333.00998
"175",85.48226,333.02332
"176",84.65949,333.03665
"177",83.93439,333.05
"178",83.36309,333.06332
"179",82.9749,333.07666
"180",82.76982,333.09
"181",82.71122,333.10333
"182",82.738075,333.11667
"183",82.77959,333.13
"184",82.77226,333.14334
"185",82.669716,333.15668
"186",82.45731,333.17
"187",82.13504,333.18335
"188",81.71755,333.1967
"189",81.22926,333.21002
"190",80.69703,333.22336
"191",80.14038,333.2367
"192",79.58373,333.25003
"193",79.03929,333.26337
"194",78.52659,333.2767
"195",78.048065,333.29004
"196",77.61593,333.30338
"197",77.22774,333.3167
"198",76.8835,333.33005
"199",76.58808,333.34338
"200",76.34394,333.35672
"201",76.14374,333.37006
"202",75.982605,333.3834
"203",75.85077,333.39673
"204",75.75067,333.41006
"205",75.667656,333.4234
"206",75.60662,333.43674
"207",75.56756,333.45007
"208",75.54803,333.4634
"209",75.54803,333.47675
"210",75.55779,333.49008
"211",75.57,333.50342
"212",75.57488,333.51675
"213",75.56512,333.5301
"214",75.53338,333.54343
"215",75.47967,333.55676
"216",75.403984,333.5701
"217",75.31609,333.58344
"218",75.21843,333.59677
"219",75.11833,333.6101
"220",75.035324,333.62344
"221",74.99626,333.63678
"222",75.07439,333.65012
"223",75.39666,333.66345
"224",76.11932,333.6768
"225",77.38155,333.69012
"226",79.234604,333.70346
"227",81.59792,333.7168
"228",84.23956,333.73013
"229",86.83238,333.74347
"230",89.05409,333.7568
"231",90.68009,333.77014
"232",91.615166,333.78348
"233",91.895935,333.7968
"234",91.649345,333.81015
"235",91.03166,333.8235
"236",90.18936,333.83682
"237",89.22987,333.85016
"238",88.21423,333.8635
"239",87.17174,333.87683
"240",86.134125,333.89017
"241",85.13313,333.9035
"242",84.227356,333.91684
"243",83.47784,333.93018
"244",82.94072,333.9435
"245",82.633095,333.95685
"246",82.533,333.97018
"247",82.5745,333.98352
"248",82.67704,333.99686
"249",82.760056,334.0102
"250",82.757614,334.02353
"251",82.63554,334.03687
"252",82.38651,334.0502
"253",82.02518,334.06354
"254",81.56863,334.07687
"255",81.04372,334.0902
"256",80.48463,334.10355
"257",79.91089,334.11688
"258",79.34936,334.13022
"259",78.81712,334.14355
"260",78.32151,334.1569
"261",77.86984,334.17023
"262",77.467,334.18356
"263",77.10811,334.1969
"264",76.80049,334.21024
"265",76.541695,334.22357
"266",76.32929,334.2369
"267",76.16571,334.25024
"268",76.04608,334.26358
"269",75.96307,334.27692
"270",75.90936,334.29025
"271",75.8703,334.3036
"272",75.83612,334.31693
"273",75.78729,334.33026
"274",75.718925,334.3436
"275",75.62859,334.35693
"276",75.52117,334.37027
"277",75.3991,334.3836
"278",75.27947,334.39694
"279",75.18669,334.41028
"280",75.176926,334.4236
"281",75.34051,334.43695
"282",75.81171,334.4503
"283",76.732124,334.46362
"284",78.1799,334.47696
"285",80.130615,334.4903
"286",82.423134,334.50363
"287",84.78645,334.51697
"288",86.92027,334.5303
"289",88.58289,334.54364
"290",89.64004,334.55698
"291",90.08438,334.5703
"292",90.0087,334.58365
"293",89.547264,334.597
"294",88.8246,334.61032
"295",87.93591,334.62366
"296",86.942245,334.637
"297",85.88266,334.65033
"298",84.788895,334.66367
"299",83.70733,334.677
"300",82.69657,334.69034
"301",81.83475,334.70367
"302",81.17555,334.717
"303",80.75075,334.73035
"304",80.5359,334.74368
"305",80.465096,334.75702
"306",80.45777,334.77036
"307",80.4358,334.7837
"308",80.3357,334.79703
"309",80.128174,334.81036
"310",79.80835,334.8237
"311",79.38354,334.83704
"312",78.88548,334.85037
"313",78.33616,334.8637
"314",77.76242,334.87704
"315",77.188675,334.89038
"316",76.63447,334.90372
"317",76.10956,334.91705
"318",75.62615,334.9304
"319",75.18425,334.94373
"320",74.79118,334.95706
"321",74.442055,334.9704
"322",74.13687,334.98373
"323",73.87564,334.99707
"324",73.66323,335.0104
"325",73.49233,335.02374
"326",73.358055,335.03708
"327",73.25796,335.0504
"328",73.179825,335.06375
"329",73.11391,335.0771
"330",73.043106,335.09042
"331",72.96254,335.10376
"332",72.86977,335.1171
"333",72.76723,335.13043
"334",72.66224,335.14377
"335",72.56214,335.1571
"336",72.4889,335.17044
"337",72.48646,335.18378
"338",72.64759,335.1971
"339",73.111465,335.21045
"340",74.019684,335.2238
"341",75.44305,335.23712
"342",77.349815,335.25046
"343",79.56176,335.2638
"344",81.80545,335.27713
"345",83.78546,335.29047
"346",85.28207,335.3038
"347",86.20004,335.31714
"348",86.56626,335.33047
"349",86.49546,335.3438
"350",86.1268,335.35715
"351",85.58236,335.37048
"352",84.947586,335.38382
"353",84.27131,335.39716
"354",83.5584,335.4105
"355",82.80888,335.42383
"356",82.02762,335.43716
"357",81.248795,335.4505
"358",80.52125,335.46384
"359",79.91577,335.47717
"360",79.48852,335.4905
"361",79.259026,335.50385
"362",79.19066,335.51718
"363",79.22484,335.53052
"364",79.27123,335.54385
"365",79.26391,335.5572
"366",79.15404,335.57053
"367",78.93187,335.58386
"368",78.6096,335.5972
"369",78.21164,335.61053
"370",77.76242,335.62387
"371",77.29366,335.6372
"372",76.83223,335.65054
"373",76.39033,335.66388
"374",75.982605,335.67722
"375",75.60906,335.69055
"376",75.27703,335.7039
"377",74.986496,335.71722
"378",74.7277,335.73056
"379",74.50553,335.7439
"380",74.32487,335.75723
"381",74.17349,335.77057
"382",74.056305,335.7839
"383",73.9733,335.79724
"384",73.92447,335.81058
