"","ppg","time"
"1",80.22339,23.468653
"2",80.14038,23.481987
"3",80.08667,23.49532
"4",80.05737,23.508652
"5",80.042725,23.521986
"6",80.028076,23.53532
"7",79.99634,23.548653
"8",79.94751,23.561985
"9",79.86694,23.57532
"10",79.75952,23.588654
"11",79.62768,23.601986
"12",79.48119,23.615318
"13",79.32494,23.628653
"14",79.168686,23.641987
"15",79.01488,23.65532
"16",78.870834,23.668652
"17",78.74143,23.681986
"18",78.61936,23.69532
"19",78.50706,23.708652
"20",78.4094,23.721985
"21",78.31907,23.73532
"22",78.24094,23.748653
"23",78.1799,23.761986
"24",78.12863,23.775318
"25",78.08469,23.788652
"26",78.04562,23.801987
"27",78.009,23.81532
"28",77.96994,23.828651
"29",77.92844,23.841986
"30",77.891815,23.85532
"31",77.86008,23.868652
"32",77.83322,23.881985
"33",77.81613,23.895319
"34",77.80881,23.908653
"35",77.80881,23.921986
"36",77.80881,23.935318
"37",77.806366,23.948652
"38",77.80881,23.961987
"39",77.840546,23.975319
"40",77.95285,23.988651
"41",78.21652,24.001986
"42",78.69016,24.01532
"43",79.38842,24.028652
"44",80.26002,24.041985
"45",81.19508,24.055319
"46",82.05936,24.068653
"47",82.74784,24.081985
"48",83.209274,24.095318
"49",83.43389,24.108652
"50",83.458305,24.121986
"51",83.33868,24.135319
"52",83.11894,24.148651
"53",82.84062,24.161985
"54",82.545204,24.17532
"55",82.262,24.188652
"56",81.99832,24.201984
"57",81.75906,24.215319
"58",81.53933,24.228653
"59",81.341576,24.241985
"60",81.16579,24.255318
"61",81.007095,24.268652
"62",80.867935,24.281986
"63",80.75075,24.295319
"64",80.655525,24.308651
"65",80.5774,24.321985
"66",80.52613,24.33532
"67",80.48707,24.348652
"68",80.45777,24.361984
"69",80.42115,24.375319
"70",80.36988,24.388653
"71",80.2942,24.401985
"72",80.19653,24.415318
"73",80.07446,24.428652
"74",79.93042,24.441986
"75",79.77417,24.455318
"76",79.61303,24.46865
"77",79.4519,24.481985
"78",79.293205,24.49532
"79",79.14671,24.508652
"80",79.01488,24.521984
"81",78.89525,24.535318
"82",78.79027,24.548653
"83",78.69993,24.561985
"84",78.61692,24.575317
"85",78.54368,24.58865
"86",78.47776,24.601986
"87",78.41917,24.615318
"88",78.37034,24.62865
"89",78.32639,24.641987
"90",78.28245,24.65532
"91",78.238495,24.668652
"92",78.19943,24.681984
"93",78.167694,24.695316
"94",78.14084,24.708652
"95",78.118866,24.721985
"96",78.10422,24.735317
"97",78.08957,24.748653
"98",78.0798,24.761986
"99",78.07248,24.775318
"100",78.065155,24.78865
"101",78.06027,24.801983
"102",78.08469,24.81532
"103",78.187225,24.828651
"104",78.43626,24.841984
"105",78.89525,24.85532
"106",79.57641,24.868652
"107",80.428474,24.881985
"108",81.34646,24.895317
"109",82.20096,24.90865
"110",82.879684,24.921986
"111",83.32159,24.935318
"112",83.529106,24.94865
"113",83.54131,24.961987
"114",83.40948,24.975319
"115",83.18486,24.988651
"116",82.90654,25.001984
"117",82.60624,25.015316
"118",82.30839,25.028652
"119",82.02762,25.041985
"120",81.77127,25.055317
"121",81.53933,25.068653
"122",81.322044,25.081985
"123",81.12428,25.095318
"124",80.9485,25.10865
"125",80.797134,25.121983
"126",80.689705,25.135319
"127",80.62623,25.148651
"128",80.601814,25.161983
"129",80.604256,25.17532
"130",80.621346,25.188652
"131",80.638435,25.201984
"132",80.635994,25.215317
"133",80.59693,25.22865
"134",80.52125,25.241985
"135",80.4065,25.255318
"136",80.26002,25.26865
"137",80.096436,25.281986
"138",79.92798,25.295319
"139",79.75464,25.308651
"140",79.58129,25.321983
"141",79.40551,25.335316
"142",79.237045,25.348652
"143",79.07591,25.361984
"144",78.92943,25.375317
"145",78.80003,25.388653
"146",78.68284,25.401985
"147",78.5803,25.415318
"148",78.48997,25.42865
"149",78.41428,25.441982
"150",78.345924,25.455318
"151",78.28489,25.46865
"152",78.23117,25.481983
"153",78.187225,25.49532
"154",78.150604,25.508652
"155",78.12131,25.521984
"156",78.09445,25.535316
"157",78.07492,25.548649
"158",78.08713,25.561985
"159",78.17502,25.575317
"160",78.41184,25.58865
"161",78.85863,25.601986
"162",79.517815,25.615318
"163",80.33814,25.62865
"164",81.214615,25.641983
"165",82.0325,25.655315
"166",82.67948,25.668652
"167",83.10185,25.681984
"168",83.31182,25.695316
"169",83.336235,25.708652
"170",83.22392,25.721985
"171",83.00664,25.735317
"172",82.73319,25.74865
"173",82.4329,25.761982
"174",82.1326,25.775318
"175",81.84451,25.78865
"176",81.58816,25.801983
"177",81.35134,25.81532
"178",81.13161,25.828651
"179",80.91676,25.841984
"180",80.709236,25.855316
"181",80.52613,25.868649
"182",80.37476,25.881985
"183",80.26246,25.895317
"184",80.19165,25.90865
"185",80.15503,25.921986
"186",80.1355,25.935318
"187",80.12573,25.94865
"188",80.1062,25.961983
"189",80.07446,25.975315
"190",80.01343,25.988651
"191",79.92554,26.001984
"192",79.81323,26.015316
"193",79.67895,26.028652
"194",79.53246,26.041985
"195",79.38354,26.055317
"196",79.234604,26.06865
"197",79.08324,26.081982
"198",78.93675,26.095318
"199",78.79271,26.10865
"200",78.658424,26.121983
"201",78.53391,26.135319
"202",78.42405,26.148651
"203",78.32639,26.161983
"204",78.24094,26.175316
"205",78.16525,26.188648
"206",78.09201,26.201984
"207",78.02121,26.215317
"208",77.95285,26.22865
"209",77.89426,26.241985
"210",77.85031,26.255318
"211",77.81857,26.26865
"212",77.7966,26.281982
"213",77.78195,26.295315
"214",77.769745,26.308651
"215",77.75998,26.321983
"216",77.74532,26.335316
"217",77.73556,26.348652
"218",77.733116,26.361984
"219",77.75998,26.375317
