"","ppg","time"
"1",79.30297,635.5908
"2",79.20531,635.604
"3",79.11986,635.6172
"4",79.03685,635.6304
"5",78.95628,635.64355
"6",78.87572,635.65674
"7",78.79271,635.6699
"8",78.709694,635.6831
"9",78.641335,635.6963
"10",78.58274,635.7095
"11",78.53391,635.72266
"12",78.487526,635.73584
"13",78.450905,635.749
"14",78.43137,635.7622
"15",78.47532,635.7754
"16",78.6511,635.7886
"17",79.01976,635.80176
"18",79.603264,635.81494
"19",80.36256,635.8281
"20",81.20973,635.8413
"21",82.02762,635.8545
"22",82.69657,635.8677
"23",83.14824,635.88086
"24",83.36797,635.89404
"25",83.38018,635.9072
"26",83.22392,635.9204
"27",82.950485,635.9336
"28",82.60624,635.9468
"29",82.22049,635.95996
"30",81.82498,635.97314
"31",81.43435,635.9863
"32",81.06081,635.9995
"33",80.706795,636.0127
"34",80.38209,636.0259
"35",80.09155,636.03906
"36",79.84497,636.05225
"37",79.64965,636.0654
"38",79.51049,636.0786
"39",79.42748,636.0918
"40",79.395744,636.105
"41",79.41039,636.11816
"42",79.45678,636.13135
"43",79.5227,636.14453
"44",79.59594,636.1577
"45",79.66674,636.1709
"46",79.71557,636.1841
"47",79.73998,636.19727
"48",79.7351,636.21045
"49",79.70092,636.22363
"50",79.639885,636.2368
"51",79.56176,636.25
"52",79.47143,636.2632
"53",79.37377,636.27637
"54",79.273674,636.28955
"55",79.17357,636.30273
"56",79.07591,636.3159
"57",78.98558,636.3291
"58",78.90257,636.3423
"59",78.82933,636.35547
"60",78.765854,636.36865
"61",78.709694,636.38184
"62",78.65598,636.395
"63",78.60227,636.4082
"64",78.551,636.4214
"65",78.521706,636.4346
"66",78.53147,636.44775
"67",78.63157,636.46094
"68",78.890366,636.4741
"69",79.344475,636.4873
"70",79.991455,636.5005
"71",80.76784,636.5137
"72",81.57839,636.52686
"73",82.30106,636.54004
"74",82.83818,636.5532
"75",83.1458,636.5664
"76",83.23125,636.5796
"77",83.12871,636.5928
"78",82.89189,636.60596
"79",82.56962,636.61914
"80",82.20096,636.6323
"81",81.8201,636.6455
"82",81.444115,636.6587
"83",81.08034,636.6719
"84",80.740974,636.68506
"85",80.428474,636.69824
"86",80.15015,636.7114
"87",79.903564,636.7246
"88",79.69848,636.7378
"89",79.54467,636.751
"90",79.44457,636.76416
"91",79.395744,636.77734
"92",79.40063,636.7905
"93",79.44457,636.8037
"94",79.51537,636.8169
"95",79.588615,636.8301
"96",79.65209,636.84326
"97",79.68871,636.85645
"98",79.69604,636.8696
"99",79.66918,636.8828
"100",79.61791,636.896
"101",79.54711,636.9092
"102",79.4641,636.92236
"103",79.37377,636.93555
"104",79.281,636.9487
"105",79.18822,636.9619
"106",79.10033,636.9751
"107",79.01732,636.9883
"108",78.93919,637.00146
"109",78.86595,637.01465
"110",78.79759,637.02783
"111",78.729225,637.041
"112",78.66575,637.0542
"113",78.60471,637.0674
"114",78.54612,637.08057
"115",78.49241,637.09375
"116",78.45335,637.10693
"117",78.45823,637.1201
"118",78.555885,637.1333
"119",78.80736,637.1465
"120",79.256584,637.15967
"121",79.90112,637.17285
"122",80.6775,637.18604
"123",81.48806,637.1992
"124",82.213165,637.2124
"125",82.760056,637.2256
"126",83.07988,637.2388
"127",83.17265,637.25195
"128",83.07988,637.26514
"129",82.845505,637.2783
"130",82.52567,637.2915
"131",82.159454,637.3047
"132",81.778595,637.3179
"133",81.40261,637.33105
"134",81.04616,637.34424
"135",80.71656,637.3574
"136",80.41871,637.3706
"137",80.15015,637.3838
"138",79.91821,637.397
"139",79.727776,637.41016
"140",79.586174,637.42334
"141",79.49096,637.4365
"142",79.4519,637.4497
"143",79.46166,637.4629
"144",79.51049,637.4761
"145",79.57641,637.48926
"146",79.64477,637.50244
"147",79.70336,637.5156
"148",79.73754,637.5288
"149",79.742424,637.542
"150",79.72045,637.5552
"151",79.674065,637.56836
"152",79.603264,637.58154
"153",79.517815,637.5947
"154",79.42016,637.6079
"155",79.32006,637.6211
"156",79.217514,637.6343
"157",79.11986,637.64746
"158",79.03197,637.66064
"159",78.9514,637.6738
"160",78.8806,637.687
"161",78.81468,637.7002
"162",78.74876,637.7134
"163",78.68284,637.72656
"164",78.61692,637.73975
"165",78.551,637.7529
"166",78.49241,637.7661
"167",78.45335,637.7793
"168",78.46555,637.7925
"169",78.58274,637.80566
"170",78.86351,637.81885
"171",79.34203,637.83203
"172",80.008545,637.8452
"173",80.79225,637.8584
"174",81.58572,637.8716
"175",82.27421,637.88477
"176",82.774704,637.89795
"177",83.055466,637.91113
"178",83.12138,637.9243
"179",83.01152,637.9375
"180",82.76982,637.9507
"181",82.45243,637.96387
"182",82.091095,637.97705
"183",81.72488,637.99023
"184",81.36599,638.0034
"185",81.03639,638.0166
"186",80.72877,638.0298
"187",80.445564,638.04297
"188",80.19165,638.05615
"189",79.9646,638.06934
"190",79.77417,638.0825
"191",79.62524,638.0957
"192",79.520256,638.1089
"193",79.46899,638.1221
"194",79.4641,638.13525
"195",79.49584,638.14844
"196",79.554436,638.1616
"197",79.61791,638.1748
"198",79.67162,638.188
"199",79.70092,638.2012
"200",79.70336,638.21436
"201",79.674065,638.22754
"202",79.61791,638.2407
"203",79.54467,638.2539
"204",79.4641,638.2671
"205",79.37621,638.2803
